01:42:35:905709|0035-00001:PSH::Tinfo UTCOffset {+05:30}
01:42:35:905750|0062-00001:JAVA::PropertyName [java.version] PropertyValue [23.0.2]
01:42:35:905762|0073-00001:JAVA::PropertyName [java.vendor] PropertyValue [Oracle Corporation]
01:42:35:905835|0083-00001:JAVA::PropertyName [java.vendor.url] PropertyValue [https://java.oracle.com/]
01:42:35:905847|0081-00001:JAVA::PropertyName [java.home] PropertyValue [C:\Program Files\Java\jdk-23]
01:42:35:905854|0075-00001:JAVA::PropertyName [java.vm.specification.version] PropertyValue [23]
01:42:35:905861|0090-00001:JAVA::PropertyName [java.vm.specification.vendor] PropertyValue [Oracle Corporation]
01:42:35:905867|0104-00001:JAVA::PropertyName [java.vm.specification.name] PropertyValue [Java Virtual Machine Specification]
01:42:35:905872|0070-00001:JAVA::PropertyName [java.vm.version] PropertyValue [23.0.2+7-58]
01:42:35:905879|0076-00001:JAVA::PropertyName [java.vm.vendor] PropertyValue [Oracle Corporation]
01:42:35:905884|0089-00001:JAVA::PropertyName [java.vm.name] PropertyValue [Java HotSpot(TM) 64-Bit Server VM]
01:42:35:905890|0072-00001:JAVA::PropertyName [java.specification.version] PropertyValue [23]
01:42:35:905895|0087-00001:JAVA::PropertyName [java.specification.vendor] PropertyValue [Oracle Corporation]
01:42:35:905901|0098-00001:JAVA::PropertyName [java.specification.name] PropertyValue [Java Platform API Specification]
01:42:35:905907|0066-00001:JAVA::PropertyName [java.class.version] PropertyValue [67.0]
01:42:35:905912|0107-00001:JAVA::PropertyName [java.class.path] PropertyValue [target/COOL_Onboarding_Activity-1.0-SNAPSHOT.jar]
